context,requests,variant,aggregate_decode_tokens_per_second_median,aggregate_decode_tokens_per_second_minimum,aggregate_decode_tokens_per_second_maximum,mean_request_ttft_seconds_median,mean_request_ttft_seconds_minimum,mean_request_ttft_seconds_maximum,mean_request_tpot_seconds_median,mean_request_tpot_seconds_minimum,mean_request_tpot_seconds_maximum,generation_seconds_median,generation_seconds_minimum,generation_seconds_maximum
128,2,block16,38.424293339271095,32.92070753489055,41.442152328223166,0.07875367702217773,0.06685689545702189,0.0822412499692291,0.053343061033436764,0.04965069349522569,0.061008312506601214,0.4627159375231713,0.4371760420035571,0.5131715000607073
128,2,block32,43.11929127175742,40.76687830869415,46.01925249259213,0.0754641979583539,0.06441658339463174,0.07846208359114826,0.04783974257796737,0.044919877994938615,0.05044014879968017,0.41662543709389865,0.3891166248358786,0.44027341715991497
128,4,stock,48.38257204699793,44.46553317485161,50.93516043964976,0.11305973469279706,0.1113915832247585,0.11948267713887617,0.08709017560717516,0.08313203721939187,0.09378666664373927,0.7533384376438335,0.7224664171226323,0.8042412921786308
128,4,contiguous,48.607157182031955,46.160446888300854,53.342875719311934,0.1183373125968501,0.1074438754003495,0.12251828063745052,0.08707537946923237,0.0797697648938213,0.09119306996996913,0.7501183749409392,0.7079175000544637,0.7899192909244448
128,4,dynamic,47.49149028507488,39.24359604737684,50.768040407601674,0.11613208329072222,0.11345805233577266,0.11846161435823888,0.08895109370600299,0.08335890032217971,0.1047380580400516,0.769135624403134,0.7281877498608083,0.8871542501728982
128,4,block8,34.82371596517001,29.786258319843512,38.24155318602864,0.12434482763637789,0.11759623943362385,0.12952146853785962,0.11793051939457655,0.1081052589745793,0.13657690031686798,0.9953200835734606,0.9176927090156823,1.1308968749362975
128,4,block16,41.19688098378582,37.512532809457,41.65026278109702,0.11995423963526264,0.11801834352081642,0.13134555227588862,0.10117728572056096,0.10016279315043773,0.11054787796456367,0.8652974994620308,0.8536809580400586,0.9325772079173476
128,4,block32,45.493167781734286,41.987492969502824,46.51919431115853,0.11968574477941729,0.11891319829737768,0.12215303158154711,0.09226240329527563,0.09019797471618013,0.09951150745785396,0.7974338755011559,0.78231833409518,0.8490152501035482
128,8,stock,49.636009982012695,43.391466688145066,51.72682538847323,0.19873161183204502,0.19483922407380305,0.2008861766080372,0.17176589919004723,0.16560643680194126,0.1943655275556791,1.4707482284866273,1.4220982089173049,1.6346106249839067
128,8,contiguous,51.20377120688452,49.469334676469316,53.32800053760852,0.20413881778949872,0.19707357822335325,0.2069467808760237,0.16738747955033823,0.1611804873433097,0.17236107886752247,1.4389433960895985,1.394697583047673,1.482116124825552
128,8,dynamic,47.26760683832764,44.70548366494922,50.293155924727586,0.19732568772451486,0.19292398408288136,0.20062417688313872,0.1797512098211363,0.1689597313982501,0.18918354683306202,1.5249482500366867,1.4536043340340257,1.5993339160922915
